name,location
The Boliqueime Inn Hotel,"Avenida Professor Dr. Anibal Cavaco Silva Nr. 32, Boliqueime 8100-077 Portugal"
Quinta do Mel,"Apartado 6080, Olhos de Agua, Albufeira 8201-925 Portugal"
Dixo's Oporto Hostel,"Rua de Mouzinho da Silveira 72, Porto 4050-415 Portugal"
Charming Antas House,"Rua de Naulila 98 122, Porto 4200-412 Portugal"
Convento da ProvenÃ§a,"Monte Paleiros Ribeira De Nisa, Portalegre 7300 Portugal"
Lisbon Happy Hostel,"Rua dos Correeiros n. 161, Lisbon 1100-164 Portugal"
"Borralha Hotel, Restaurante & Spa","Travessa Moreira de Carvalho No. 2, Vila Real 5000-423 Portugal"
Pestana Vila Lido,"Rua Gorgulho 15-17, Funchal, Madeira 9000-107 Portugal"
Casazul,"Alagoachos Lote 299 Lote 299, Vila Nova de Milfontes 7645-012 Portugal"
Chicks On Waves,"Quinta da Fortaleza 40, Budens 8650-041 Portugal"
Casas do Porto - Ribeira Apartments,"Rua Ferreira Borges, Porto 4050-253 Portugal"
HolaCamp Albufeira,"Estr. De Ferreiras N395, Albufeira 8200-555 Portugal"
Estalagem Da Ponta Do Sol,"Caminho Do Passo, 6, Ponta Do Sol, Madeira 9360-529 Portugal"
Palacio Vila Flor,"Travessa Sao Joao da Praca 36, Lisbon 1100-523 Portugal"
Horta de Torrejais,"Estrada da Barca 7860, Moura 7860-307 Portugal"
Hotel Casa do Tua,"Avenida da Estacao 05, Foz Tua 5140-133 Portugal"
Hotel Cristal Porto,"Travessa Antero de Quental 360, Porto 4000-087 Portugal"
Pure Fonte Velha Bed and Breakfast,"Rua 25 de Abril 13, Vila do Bispo 8650-428 Portugal"
Sol da Vila,"Rua CustÃ³dio BrÃ¡s Pacheco 4, Vila Nova de Milfontes 7645-253 Portugal"
PortoBay Serra Golf,"Sitio dos Casais Proximos, Santo Antonio da Serra, Madeira 9100-255 Portugal"
Hotel Madeira,"Rua Ivens 21, Funchal, Madeira 9000-046 Portugal"
Encostas do Coa TER,"Quinta Nova Pinhel Rua nova, Quinta Nova 6400-552 Portugal"
Herdade Da Matinha,"Cercal do Alentejo, Cercal 7555-231 Portugal"
Casa Areias Apartamentos,"Beco do Barnabe 457, Albufeira 8200-287 Portugal"
Quinta Mirabela,"Caminho do Monte 105-107, Funchal, Madeira 9000-288 Portugal"
Vila Gale Collection Braga,"Largo Carlos Amarante, Braga 4700-308 Portugal"
Mayer Apartments,"Rua da Varzea, Luz 8600-157 Portugal"
Artbeat Rooms,"Rua de Sao Nicolau 23 3rd E, Lisbon 1100-547 Portugal"
Vila Gale Porto Ribeira,"Cais das Pedras 22 Lordelo do Ouro e Massarelos, Porto 4050-499 Portugal"
Tivoli Carvoeiro Algarve Resort,"Apartado 1299 Vale Do Covo, Carvoeiro 8401-911 Portugal"
Hotel Covilha Dona Maria Affiliated by MeliÃ¡,"Alameda Pero da Covilha, Covilha 6200-507 Portugal"
Villa Natura - Ecoturismo,"Caminho Velho da Praia, 14, Vila do Porto, Santa Maria 9580-030 Portugal"
Candeias do Souto,"Largo da Capela, Braganca 5300-673 Portugal"
Cabanas da Viscondessa,"Caminho de Cima da Ribeira do Nabo, Urzelina, Sao Jorge 9800-404 Portugal"
Legends' House by Sweet Porto,"Rua do Bonjardim 115, Porto 4000-124 Portugal"
PÃ¡tio Da Villa Coruche Guest House,"Rua do Borralho 1, Coruche 2100-168 Portugal"
Residencial Londrina,"Rua Castilho 61, Lisbon 1250-068 Portugal"
White Exclusive Suites & Villas,"Rua Rocha Quebrada 10 - Atalhada, Lagoa 9560-420 Portugal"
Turim Marques Hotel,"Rua Mouzinho da Silveira 26, Lisbon 1250-167 Portugal"
Hotel Alegria,"PraÃ§a da Alegria, 12, Lisbon 1250-004 Portugal"
Casa de Sezim,"Rua de Sezim, Guimaraes 4811-909 Portugal"
SÃ£o LourenÃ§o do Barrocal,Monsaraz 7200-177 Portugal
Casa do Cabeco,"Casa do CabeÃ§o, Rua da Portela 30 Falorca, CastelÃµes, Tondela 3465-127 Portugal"
Quinta do Morgado - Monte da Eira Apartments,"Quinta do Morgado Estrada Nacional 125, Tavira 8800-209 Portugal"
Hotel El Rei Dom Manuel,"Largo de Olivenca, Marvao 7330-104 Portugal"
Varzinn Hotel,"Rua Jose Morneiro 100, Povoa de Varzim 4490-100 Portugal"
Pousada Vila Real Santo Antonio,"Praca Marques de Pombal 30, Vila Real de Santo Antonio 8900-231 Portugal"
Four Seasons Vilamoura,"Rua da Holanda, Vilamoura, Quarteira 8125-474 Portugal"
Terra Nostra Garden Hotel,"Rua Padre Jose Jacinto Botelho 5, Furnas, PovoaÃ§Ã£o, SÃ£o Miguel 9675-061 Portugal"
Casa de Sao Domingos,"Avenida da Diocese de Vila Real No. 821, Peso Da Regua 5050-221 Portugal"
Casa da Baia,"Rua Vasco da Gama No. 20, Horta, Faial Island 9900-017 Portugal"
Holiday Inn Express Lisbon - Ave. Liberdade By IHG,"Rua Alexandre Herculano, No. 40 No. 40, Lisbon 1250-011 Portugal"
bnapartments Carregal,"Travessa do Carregal 87, Porto 4050-167 Portugal"
Convent Square Lisbon Vignette Collection by IHG,"Rua Dom AntÃ£o De Almada, 4, Lisbon 1100-373 Portugal"
Casas de Juromenha,"Ribeira de Mures, Juromenha, Alandroal 7250-242 Portugal"
Casas de Campo da Barroca,"Rua de Santa Cruz Tabosa do Carregal, Sernancelhe 3640-230 Portugal"
Sun Lovers Hostel,"Rua Movimento Das Forcas Armadas 71, Albufeira 8200-019 Portugal"
SÃ£o FÃ©lix Hotel Hillside and Nature,"R. de SÃ£o FÃ©lix 1125 Laundos, Povoa de Varzim 4570-345 Portugal"
Ventozelo Hotel & Quinta,"Quinta de Ventozelo, Ervedosa do Douro 5130-077 Portugal"
My Story Hotel Ouro,"Rua Aurea 100, Lisbon 1100-063 Portugal"
FLH Hotels Urbano,"Rua da Madalena 42 Santa Maria Maior, Lisbon 1100-321 Portugal"
Cerca do Sul,"Cabeco de Arveola BrejÃ£o, Sao Teotonio, Odemira 7630-569 Portugal"
Quinta M,"Casal Da Avo - Varzea de Baixo Casevel-Str, Santarem 2000-451 Portugal"
Vale d'Azenha Hotel Rural & Residences,"Rua da Barrada 39, Cela, Alcobaca 2460-342 Portugal"
Quinta da MÃ³,"Rua da Agua Quente 66 SÃ£o Miguel, AÃ§ores, Furnas, PovoaÃ§Ã£o, SÃ£o Miguel 9675-040 Portugal"
Stay Inn Lisbon Hostel,"Rua Luz Soriano 19 1st Floor, Lisbon 1200-246 Portugal"
Loule Jardim Hotel,"PraÃ§a Manuel de Arriaga, Loule 8100-665 Portugal"
Tonel Apartaments,"Rua do Tonel, Sagres 8650-376 Portugal"
Pateo Saudade Lofts,"Rua do Crucifixo 31 Santa Maria Maior, Lisbon 1100-182 Portugal"
Quinta do Bom Vento,"Rua Vale da Caniceira 99, Bom Vento, Obidos 2510-772 Portugal"
Blue Boutique Hostel & Suites,"Avenida Marginal 6538, Estoril, Cascais 2765-586 Portugal"
Casa do Godinho,"Rua do Godinho 222, Matosinhos 4450-146 Portugal"
"Onyria Marinha Cascais, Vignette Collection by IHG","Rua do Clube 1 Quinta Da Marinha, Cascais 2750-002 Portugal"
Hotel Eira Da Pedra,"Rua das Pensoes, Vila Nova de Milfontes 7645-291 Portugal"
We Love F. Tourists - Hostel,"Rua dos Fanqueiros 267, Lisbon 1100-230 Portugal"
Portugal By Horse,"Regada Quinta da Alegria, Midoes, Tabua 3420-136 Portugal"
Casa De Casal De Loivos,"Cabo Da Rua, Casal de Loivos 5085-010 Portugal"
Vinha da Manta,"Quinta Do Barata, Guarda 6300-095 Portugal"
Melia Braga,"Av. General Carrilho Da Silva Pinto  8, Braga 4715-380 Portugal"
Hotel Sol Algarve by Kavia,"Rua Infante Dom Henrique 52, Faro 8000-363 Portugal"
Monte do Serrado de Baixo,"Quinta do Serrado, Senhor dos Aflitos, Evora 7000-173 Portugal"
Quinta da Portela Douro,"Quinta da Portela Douro 123, CM1099, Armamar 5110-662 Portugal"
Casas da Baixa - Lighthouse Apartments,"Rua da Padaria 9, Lisbon 1100-388 Portugal"
Watermark Surf House,"Rua 29 71, Espinho 4500-007 Portugal"
Pestana Palace Lisboa,"Rua Jau 54, Lisbon 1300-314 Portugal"
Surfivor Porto Surf Hostel,"Avenida do Brasil 816, Porto 4150-154 Portugal"
O Pomar In Cabanas By Wave Algarve,"Rua Charles Bonnet 6 Edificio 3.3 - 102, Cabanas, Tavira 8800-596 Portugal"
Mercedes Country House,"Lugar do Medronhal 475-Z, Faro 8005-502 Portugal"
Quinta da Nave do Lobo,"Quinta da Nave do Lobo Alvarroes, Marvao 7330-236 Portugal"
Trendy and Luxe Bed & Breakfast,"Caixa Postal, 67, Ferreira do Alentejo 7900-112 Portugal"
Calheta Boutique Houses Adults Only,"Rua Dr. Rocha De Gouveia 48, Arco da Calheta, Calheta, Madeira 9370-075 Portugal"
Pensao Praca da Figueira,"Travessa Nova de Sao Domingos 9 2 PraÃ§a da Figueira - Baixa, Lisbon 1100-372 Portugal"
Quinta da Luz - A Luxury Boutique B&B,"Santo Estevao, Silves 8300-047 Portugal"
Fortaleza do Guincho Relais & ChÃ¢teaux,"Estrada do Guincho, Cascais 2750-642 Portugal"
Casa Da Noquinhas,"36 Rua dos Passadouros, Bunheiro 3870-028 Portugal"
Hostel Namaste,"Largo Doutor Manuel Alves Branco 12, Evora 7000-649 Portugal"
Palmares Beach House Hotel,"Campo de Golfe de Palmares, Odiaxere, Lagos 8600-250 Portugal"
Quinta de Casaldronho Wine Hotel,"EN 313 - Valdigem, Lamego 5100-026 Portugal"
Dreams Madeira Resort Spa & Marina,"Marina da Quinta Grande Sitio da Piedade, Canical, Madeira 9200-044 Portugal"
Hotel SÃ£o Jose,"Av. D. Jose Alves Correia da Silva 140, Fatima 2495-402 Portugal"
